Id,Label,Name,DisplayLevel,Shields,StartingWeaknesses,HP,PAtk,MAtk,EquipAtk,PDef,MDef,Speed,Crit,CritDef,Exp,Money
0,NONE,no data.,,1,,1,1,1,0,1,1,1,0,0,0,0
1,Forest_Enemy_01a_001,Marmot,1,2,"Sword, Spear, Dagger, Staff, Fire, Light",91,99,99,10,10,7,69,56,110,4,19
2,Forest_Enemy_01a_002,Shambling Weed,1,2,"Spear, Axe, Fan, Fire, Lightning, Dark",82,99,99,10,11,8,68,65,110,3,19
3,Forest_Enemy_01a_003,Scaled Viper,1,2,"Sword, Dagger, Staff, Tome, Wind, Dark",87,104,104,10,7,4,72,53,110,3,20
4,Forest_Enemy_01a_004,Howler,1,2,"Sword, Spear, Bow, Fan, Ice, Lightning",96,93,93,10,12,9,65,60,110,4,19
5,Forest_Enemy_01b_001,Marmot,1,2,"Sword, Spear, Dagger, Staff, Fire, Light",91,99,99,10,10,7,69,56,110,4,19
6,Forest_Enemy_01b_002,Shambling Weed,1,2,"Spear, Axe, Fan, Fire, Lightning, Dark",82,99,99,10,11,8,68,65,110,3,19
7,Forest_Enemy_01b_003,Scaled Viper,1,2,"Sword, Dagger, Staff, Tome, Wind, Dark",87,104,104,10,7,4,72,53,110,3,20
8,Forest_Enemy_01b_004,Howler,1,2,"Sword, Spear, Bow, Fan, Ice, Lightning",96,93,93,10,12,9,65,60,110,4,19
9,Forest_Enemy_02_001,Forest Ratkin I,7,2,"Sword, Dagger, Staff, Fire, Lightning, Light",186,124,124,16,14,11,81,52,124,9,49
10,Forest_Enemy_02_002,Gabbrodillo,7,2,"Sword, Spear, Bow, Tome, Ice, Dark",212,106,106,16,20,17,75,63,124,7,56
11,Forest_Enemy_02_003,Mossy Meep,7,2,"Spear, Dagger, Staff, Tome, Fire, Dark",212,106,106,16,20,17,75,63,124,7,56
12,Forest_Enemy_02_004,Spud Bug,7,2,"Sword, Dagger, Tome, Fan, Ice, Wind",176,112,112,16,18,14,78,76,124,8,54
13,Forest_Enemy_03_001,Forest Ratkin II,9,2,"Dagger, Axe, Staff, Fire, Lightning, Light",190,130,130,18,17,13,85,55,130,10,63
14,Forest_Enemy_03_002,Rampant Weed,9,2,"Spear, Dagger, Bow, Fire, Wind, Dark",180,118,118,18,20,17,83,80,130,9,69
15,Forest_Enemy_03_003,Forest Ratkin III,9,2,"Spear, Dagger, Fan, Fire, Ice, Lightning",190,130,130,18,17,13,85,55,130,10,63
16,Forest_Enemy_03_004,Majestic Marmot,9,2,"Sword, Dagger, Staff, Tome, Fire, Light",198,118,118,18,19,16,84,70,130,10,68
17,Forest_Enemy_04a_001,Guard Dog,12,3,"Sword, Bow, Fan, Ice, Light",245,133,133,26,19,15,94,73,138,13,94
18,Forest_Enemy_04a_002,Bodyguard I,12,3,"Spear, Dagger, Tome, Lightning, Dark",245,139,139,26,20,16,91,60,138,17,84
19,Forest_Enemy_04a_003,Thunder Sentinel,12,3,"Sword, Spear, Axe, Ice, Wind",233,126,126,26,24,20,89,86,138,15,92
20,Forest_Enemy_04a_004,Thunder Guardian,12,3,"Sword, Staff, Fan, Ice, Wind",245,139,139,26,20,16,91,60,138,17,84
21,Forest_Enemy_04b_001,Guard Dog,12,3,"Sword, Bow, Fan, Ice, Light",245,133,133,26,19,15,94,73,138,13,94
22,Forest_Enemy_04b_002,Bodyguard I,12,3,"Spear, Dagger, Tome, Lightning, Dark",245,139,139,26,20,16,91,60,138,17,84
23,Forest_Enemy_04b_003,Thunder Sentinel,12,3,"Sword, Spear, Axe, Ice, Wind",233,126,126,26,24,20,89,86,138,15,92
24,Forest_Enemy_04b_004,Thunder Guardian,12,3,"Sword, Staff, Fan, Ice, Wind",245,139,139,26,20,16,91,60,138,17,84
25,Forest_Enemy_06a_001,Herminia's Soldier I,18,4,"Bow, Staff, Tome, Fire, Light",410,135,135,36,33,29,96,82,152,24,144
26,Forest_Enemy_06a_002,Sentinel Mk.II,18,3,"Spear, Dagger, Staff, Tome, Fan",347,142,142,36,30,26,100,97,152,30,137
27,Forest_Enemy_06a_003,Herminia's Soldier II,18,4,"Sword, Axe, Bow, Fire, Light",410,135,135,36,33,29,96,82,152,24,144
28,Forest_Enemy_06a_004,Shadow Bat,18,3,"Spear, Bow, Ice, Wind, Light",378,142,142,36,29,25,101,85,152,32,135
29,Forest_Enemy_06b_001,Herminia's Soldier I,18,4,"Bow, Staff, Tome, Fire, Light",410,135,135,36,33,29,96,82,152,24,144
30,Forest_Enemy_06b_002,Sentinel Mk.II,18,3,"Spear, Dagger, Staff, Tome, Fan",347,142,142,36,30,26,100,97,152,30,137
31,Forest_Enemy_06b_003,Herminia's Soldier II,18,4,"Sword, Axe, Bow, Fire, Light",410,135,135,36,33,29,96,82,152,24,144
32,Forest_Enemy_06b_004,Shadow Bat,18,3,"Spear, Bow, Ice, Wind, Light",378,142,142,36,29,25,101,85,152,32,135
33,Forest_Enemy_05_001,Flame Remnant,16,2,"Axe, Staff, Tome, Ice, Wind",357,151,151,32,24,20,99,66,148,33,105
34,Forest_Enemy_05_002,Ice Remnant,16,2,"Dagger, Bow, Fan, Fire, Lightning",357,151,151,32,24,20,99,66,148,33,105
35,Forest_Enemy_05_003,Vampire Bat,16,3,"Sword, Spear, Bow, Ice, Light",371,138,138,32,27,23,98,82,148,32,113
36,Forest_Enemy_05_004,Mortal Mushroom,16,3,"Dagger, Axe, Staff, Tome, Fire",350,138,138,32,27,23,95,94,148,29,119
37,Snow_Enemy_01a_001,Snow Fox,1,2,"Sword, Axe, Staff, Fan, Fire, Lightning",87,104,104,10,7,4,72,53,110,3,20
38,Snow_Enemy_01a_002,Researcher I,1,2,"Spear, Dagger, Staff, Fan, Ice, Wind",96,93,93,10,12,9,65,60,110,4,19
39,Snow_Enemy_01a_003,Dark Sentinel,1,2,"Sword, Spear, Axe, Tome, Fire, Light",82,99,99,10,11,8,68,65,110,3,19
40,Snow_Enemy_01a_004,White Bat,1,2,"Spear, Bow, Staff, Fan, Lightning, Dark",91,99,99,10,10,7,69,56,110,4,19
41,Snow_Enemy_01b_001,Snow Fox,1,2,"Sword, Axe, Staff, Fan, Fire, Lightning",87,104,104,10,7,4,72,53,110,3,20
42,Snow_Enemy_01b_002,Researcher I,1,2,"Spear, Dagger, Staff, Fan, Ice, Wind",96,93,93,10,12,9,65,60,110,4,19
43,Snow_Enemy_01b_003,Dark Sentinel,1,2,"Sword, Spear, Axe, Tome, Fire, Light",82,99,99,10,11,8,68,65,110,3,19
44,Snow_Enemy_01b_004,White Bat,1,2,"Spear, Bow, Staff, Fan, Lightning, Dark",91,99,99,10,10,7,69,56,110,4,19
45,Snow_Enemy_02_001,Ice Lizardman I,7,2,"Sword, Axe, Staff, Tome, Fire, Dark",186,124,124,16,14,11,81,52,124,9,49
46,Snow_Enemy_02_002,Snow Marmot,7,2,"Sword, Dagger, Bow, Fire, Lightning, Wind",176,112,112,16,18,14,78,76,124,8,54
47,Snow_Enemy_02_003,Shadow Wisp,7,2,"Dagger, Axe, Tome, Ice, Wind, Light",212,106,106,16,20,17,75,63,124,7,56
48,Snow_Enemy_02_004,Wolf,7,2,"Sword, Spear, Axe, Fan, Lightning, Dark",186,118,118,16,13,10,83,63,124,7,55
49,Snow_Enemy_03_001,Majestic Snow Marmot,9,2,"Sword, Dagger, Staff, Fire, Lightning, Wind",180,118,118,18,20,17,83,80,130,9,69
50,Snow_Enemy_03_002,White Howler,9,2,"Sword, Spear, Bow, Fire, Lightning, Dark",208,112,112,18,22,18,80,74,130,10,69
51,Snow_Enemy_03_003,Ash Raven,9,2,"Spear, Axe, Bow, Fan, Lightning, Light",190,124,124,18,16,12,88,67,130,8,71
