m_Label,m_TypeID,m_DisplayLevel,m_BreakRate,m_MaxSLD,m_MaxHP,m_MaxSP,m_AtkP,m_DefP,m_AtkM,m_DefM,m_Agi,m_Crt,m_CrtDef,m_EquipAtk,m_ResistAilmentID,m_ResistAilment,m_TacticalAssignID,m_SkillsID,m_Exp,m_Money,m_DropReward,m_EventDropRewards,m_StatusOffset,m_Bottle,m_Name,m_Level,m_Hp,m_Shield,m_RaceIndices,m_DisplaySpecialSkillGauge,m_GenerateSpecialSkillValueOrverTurn,m_ReduceSpecialSkillValueBreak,m_MaxSpecialSkillValue,m_id,
NONE,00,,d100c8,1,1,1,1,1,1,1,1,0,0,00da00,0,99000000000000000000da00,0,0,0,0,00da00,93000000,92ca00000000ca00000000,0,5549c2,5549c2,5549c2,5549c2,93000000da00,c2da00,00da00,00da00,00de0023,1,
Forest_Enemy_01a_001,64,1,d100c8,2,91,2,99,10,99,7,69,56,110,0ada00,0,99000000000000000000da00,2,1,4,19,01da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000100da00,c2da00,00da00,00da00,00de0023,2,
Forest_Enemy_01a_002,65,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,3,2,3,19,02da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000200da00,c2da00,00da00,00da00,00de0023,3,
Forest_Enemy_01a_003,66,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,3,3,3,20,03da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000300da00,c2da00,00da00,00da00,00de0023,4,
Forest_Enemy_01a_004,67,1,d100c8,2,96,2,93,12,93,9,65,60,110,0ada00,0,99000000000000000000da00,8,4,4,19,04da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000400da00,c2da00,00da00,00da00,00de0023,5,
Forest_Enemy_01b_001,64,1,d100c8,2,91,2,99,10,99,7,69,56,110,0ada00,0,99000000000000000000da00,2,6,4,19,05da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000100da00,c2da00,00da00,00da00,00de0023,6,
Forest_Enemy_01b_002,65,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,3,7,3,19,06da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000200da00,c2da00,00da00,00da00,00de0023,7,
Forest_Enemy_01b_003,66,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,3,8,3,20,07da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000300da00,c2da00,00da00,00da00,00de0023,8,
Forest_Enemy_01b_004,67,1,d100c8,2,96,2,93,12,93,9,65,60,110,0ada00,0,99000000000000000000da00,8,9,4,19,08da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000400da00,c2da00,00da00,00da00,00de0023,9,
Forest_Enemy_02_001,68,7,d100c8,2,186,14,124,14,124,11,81,52,124,10da00,0,99000000000000000000da00,3,11,9,49,09da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000500da00,c2da00,00da00,00da00,00de0023,10,
Forest_Enemy_02_002,69,7,d100c8,2,212,14,106,20,106,17,75,63,124,10da00,0,99000000000000000000da00,8,12,7,56,0ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000600da00,c2da00,00da00,00da00,00de0023,11,
Forest_Enemy_02_003,6a,7,d100c8,2,212,14,106,20,106,17,75,63,124,10da00,0,99000000000000000000da00,6,13,7,56,0bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000700da00,c2da00,00da00,00da00,00de0023,12,
Forest_Enemy_02_004,6b,7,d100c8,2,176,14,112,18,112,14,78,76,124,10da00,0,99000000000000000000da00,8,14,8,54,0cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000800da00,c2da00,00da00,00da00,00de0023,13,
Forest_Enemy_03_001,6c,9,d100c8,2,190,18,130,17,130,13,85,55,130,12da00,0,99000000000000000000da00,3,17,10,63,0dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000500da00,c2da00,00da00,00da00,00de0023,14,
Forest_Enemy_03_002,6d,9,d100c8,2,180,18,118,20,118,17,83,80,130,12da00,0,99000000000000000000da00,3,18,9,69,0eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000200da00,c2da00,00da00,00da00,00de0023,15,
Forest_Enemy_03_003,6e,9,d100c8,2,190,18,130,17,130,13,85,55,130,12da00,0,99000000000000000000da00,3,19,10,63,0fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000500da00,c2da00,00da00,00da00,00de0023,16,
